Title,Video ID,Views,Likes,Published Date,Channel,Subscribers,Duration
"Vitalik Buterin&#39;s Insights on Dencun Upgrade, Pump Ethereum&#39;s to $6,000!",nWDDsUEcxBg,4109,2999,2024-03-02T20:03:49Z,Ethereum US,12300,0.0
BTC LIVE - ALTCOINS ARE MELTING UP! BITCOIN CASH UP 45%!!!,z_WEKY56zjs,32,335,2024-03-02T20:00:35Z,Mitch Ray,71400,0.0
"LIVE. Michael Saylor: Bitcoin ETF and Halving Will Send BTC to $150,000 This Year!",LaeWjOQfiPw,853,2997,2024-03-02T19:58:44Z,Tony Vlogs,1920000,0.0
CRO COIN SHIBA INU EXPLODING LIVE!ðŸ”´BREAKING CRYPTO News,qQDUvX6jvSc,6954,661,2024-03-02T19:27:20Z,Oscar Ramos,64800,5082.0
Elon Musk: Shiba Inu BULL RUN CONFIRMED!! SHIB PRICE ANALYSIS,KBL3eGFwci4,9,4005,2024-03-02T19:19:41Z,DIEGO GUERRA,1220000,0.0
Elon Musk: Shiba Inu BULL RUN CONFIRMED!! SHIB PRICE ANALYSIS,759fgN8hgwI,4,5041,2024-03-02T18:45:44Z,SHIBA,178000,0.0
ðŸš€Bitcoin Daily: Supply Shortage meets Filing SurgeðŸ“ˆ,K-FdCPe86OU,20035,4926,2024-03-02T18:29:47Z,InvestAnswers,481000,1147.0
These Crypto Meme Coins Are Going to Create Millionaires,mmAGACAjMJA,36547,2746,2024-03-02T17:28:56Z,CryptosRUs,706000,2413.0
CETTE CRYPTO Ã€ UN Ã‰NORME POTENTIELðŸ¤¯,gins6LThPjc,584,20,2024-03-02T16:51:08Z,Crypto Million,41300,40.0
MEMECOIN SEASON? BITCOIN SHAKEDOWN?! LETS BREAK IT DOWN #crypto #sol #eth #btc #xrp #ada #dot #sei,J85PQ8DajQo,174,29,2024-03-02T16:41:45Z,62ndAlpha,1270,61.0
